,Company,Address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items,coords,Longitude,Latitude
30,Paris Drapery,2846 N Milwaukee,Fullerton/Milwaukee,2004-04-06T00:00:00.000,28580.0,21435.0,Roof,"[41.9329101, -87.7138985]",-87.7138985,41.9329101
31,Congress Theatre,2135 N Milwaukee,Fullerton/Milwaukee,2004-04-07T00:00:00.000,88484.0,50000.0,Heating System electrical improvements on stage,"[41.9201602, -87.6925586]",-87.6925586,41.9201602
32,Pastorelli Food Products Inc,162 N Sangamon,Kinzie Industrial Corridor Industrial Corridor,2004-04-15T00:00:00.000,234000.0,50000.0,Loading ramps/ overhead doors/ relocate entrance,"[41.884909, -87.65132899999999]",-87.65132899999999,41.884909
33,RPN Sales,4451 N Milwaukee,Jefferson Park,2004-05-10T00:00:00.000,120000.0,50000.0,Interior Renovations,"[41.96190319999999, -87.7554356]",-87.7554356,41.96190319999999
34,Exotic Creations Inc,4645-4647 N Clark,Clark/Montrose,2004-05-13T00:00:00.000,8120.0,4060.0,Interior / Facade / HVAC,"[41.9666888, -87.66689300000002]",-87.66689300000002,41.9666888
35,NJ Hot Dog Stand,745 S Kedzie,Midwest,2004-05-17T00:00:00.000,89200.0,44600.0,Complete REHAB,"[40.16853589999999, -74.70019429999999]",-74.70019429999999,40.16853589999999
36,Northwest Crankshaft Inc,4714 Walton,Northwest Industrial Corridor,2004-05-17T00:00:00.000,20350.2,10175.1,"Overhead door, exterior concrete work","[41.8981156, -87.7442686]",-87.7442686,41.8981156
37,Mike O'Malley,5159 W Fullerton,Belmont/Central,2004-05-24T00:00:00.000,23215.0,11607.5,"Parking Lot, Tuckpoint","[41.9238721, -87.75596700000001]",-87.75596700000001,41.9238721
38,Ziggy Kruczalak,5507 W Belmont,Belmont/Central,2004-05-24T00:00:00.000,58900.0,44175.0,Windows / Doors / Facade,"[41.9384506, -87.7645328]",-87.7645328,41.9384506
39,Franklin's Restaurant,4767 N Lincoln,Western Ave North,2004-06-08T00:00:00.000,700000.0,50000.0,"Complete Renovation, for new restaurant","[41.9685003, -87.6879695]",-87.6879695,41.9685003
40,George Salinas Galaxy,4252 N Milwaukee,Portage Park,2004-06-22T00:00:00.000,95000.0,49116.65,"Interior Renovations, Flooring, Dry wall, Windows, Store Front","[41.9582993, -87.75278689999999]",-87.75278689999999,41.9582993
41,Herbert Brusso,4131 N Western,Western Ave South,2004-08-02T00:00:00.000,8335.0,6251.25,Paving / Awnings / Cement,"[41.9567868, -87.68825059999999]",-87.68825059999999,41.9567868
42,Anthony Zarcone Tastee Freeze,2815 W Armitage,Fullerton/Milwaukee,2004-08-03T00:00:00.000,14278.0,10708.5,Interior Renovations,"[41.91733, -87.6980541]",-87.6980541,41.91733
43,West End Auto Sales,125 N Cicero,Madison/Austin Corridor,2004-08-05T00:00:00.000,30000.0,15000.0,Lighting / Signage / Office Renovations / paving / Black top / Fence Work,"[41.8833942, -87.745884]",-87.745884,41.8833942
44,Krzysztof Dental,6033 W Belmont,Belmont/Central,2004-08-18T00:00:00.000,8100.0,4050.0,Parking Lot / HVAC / Front Door,"[41.9382587, -87.77750320000001]",-87.77750320000001,41.9382587
45,Madison Pine Dental Clinic,5470 W Madison,Madison/Austin Corridor,2004-08-18T00:00:00.000,21652.44,10826.22,"Facade, flooring, renovations","[41.8805269, -87.7629182]",-87.7629182,41.8805269
46,Michael Filmowicz,4806 N Milwaukee,Jefferson Park,2004-09-07T00:00:00.000,400000.0,50000.0,Complete renovation - Floor 1 + 2,"[41.96793, -87.76129999999999]",-87.76129999999999,41.96793
47,AAA Metal Finishers,2904 W Armitage,Fullerton/Milwaukee,2004-09-14T00:00:00.000,6507.75,4880.81,windows,"[41.9170673, -87.7243168]",-87.7243168,41.9170673
48,Am Sewing Dynamics,4534 W North,Northwest Industrial Corridor,2004-09-14T00:00:00.000,97000.0,50000.0,Facade improvements / parking / sidewalks / Interior Renovations,"[41.9100383, -87.74028179999999]",-87.74028179999999,41.9100383
49,Cambodian Assoc Of IL,2831 W Lawrence,Western Ave North,2004-09-14T00:00:00.000,105820.0,50000.0,Interior and exterior renovations,"[41.9684263, -87.6999104]",-87.6999104,41.9684263
50,State Farm Insurance,4465 N Milwaukee,Jefferson Park,2004-09-14T00:00:00.000,9980.0,4990.0,Sign,"[41.9622693, -87.7556633]",-87.7556633,41.9622693
51,Ritchie's Restaurant,3119-3123 W 111th,111th/Kedzie,2004-09-16T00:00:00.000,130000.0,50000.0,New Facade / Doors / Windows / Hardwood floors / HVAC / ADA Restrooms,"[41.6913186, -87.6992672]",-87.6992672,41.6913186
52,Friendship Chinese Restaurant,2830 N Milwaukee,Fullerton/Milwaukee,2004-09-27T00:00:00.000,41738.0,20869.0,HVAC / Roofing / Signage / Canopy / Electrical / Flooring / Bathrooms / Kitchen Equipment,"[41.93251170000001, -87.7135479]",-87.7135479,41.93251170000001
53,Ken Sakamoto DDS PC,3939 N Lincoln,Western Ave South,2004-09-27T00:00:00.000,24786.88,12393.44,"Floor, structural","[41.953503, -87.677894]",-87.677894,41.953503
54,Mike O'Malley,5159 W Fullerton,Belmont/Central,2004-09-27T00:00:00.000,31900.0,15950.0,"Rehab Exterior, Landscaping","[41.9238721, -87.75596700000001]",-87.75596700000001,41.9238721
55,T & J Plumbing Inc,5251 W Belmont,Belmont/Central,2004-09-27T00:00:00.000,37804.0,18902.0,Roof / Window Replacement,"[41.9384598, -87.7586907]",-87.7586907,41.9384598
56,P Jerome Jakubco,2224 W Irving Park,Western Ave South,2004-10-07T00:00:00.000,14034.06,7017.03,Storefronts Awnings,"[41.954377, -87.684665]",-87.684665,41.954377
57,TNT Vending,3120 W 111th,111th/Kedzie,2004-10-07T00:00:00.000,53395.0,35355.28,Complete Renovation,"[41.691787, -87.6993442]",-87.6993442,41.691787
58,Northbrook Partners,2522 W Armitage,Fullerton/Milwaukee,2004-10-22T00:00:00.000,120000.0,50000.0,windows,"[41.9177447, -87.6911638]",-87.6911638,41.9177447
59,Custom Built Construction Inc,3046 W Armitage,Fullerton/Milwaukee,2004-10-25T00:00:00.000,103750.0,50000.0,Building Renovation,"[41.9176083, -87.70434870000001]",-87.70434870000001,41.9176083
60,B&G Painting & Dec,4159 N Western,Western Ave South,2004-11-02T00:00:00.000,42256.0,21218.0,"windows, hvac, storefront","[41.9158219, -87.6771593]",-87.6771593,41.9158219
61,Hot Spot on Armitage,2824 W Armitage,Fullerton/Milwaukee,2004-11-02T00:00:00.000,120000.0,50000.0,Interior and Exterior Renovations for a new retaurant,"[41.9173129, -87.7011921]",-87.7011921,41.9173129
62,Jeune Nazon,1750 E 87th,Stony Island Avenue Commercial and Burnside Industrial Corridors,2004-11-02T00:00:00.000,47422.47,35566.85,"Parking, interior, exterior, HVAC, Roof, storefront","[41.7372513, -87.58086569999999]",-87.58086569999999,41.7372513
63,West End Auto Sales,125 N Cicero,Madison/Austin Corridor,2004-11-10T00:00:00.000,29313.0,14656.5,Lighting / Signage / Office Renovations / paving / Black top / Fence Work,"[41.8833942, -87.745884]",-87.745884,41.8833942
64,Armitage Ave LLC,2557 W Armitage,Fullerton/Milwaukee,2004-12-17T00:00:00.000,27500.0,14513.4,Exterior Work,"[41.9173374, -87.69175709999999]",-87.69175709999999,41.9173374
65,Xotic Tan,3129 W Armitage,Fullerton/Milwaukee,2004-12-17T00:00:00.000,118000.0,28892.5,Floors / Electrical / Bathroom / HVAC / Signage,"[42.0411028, -87.7317623]",-87.7317623,42.0411028
66,Brooks Bros Services I,4231 W Madison,Madison/Austin Corridor,2004-12-21T00:00:00.000,162000.0,50000.0,"Adjacent Property Purchase, Facade, Electrical, HVAC, ROOF, Floors","[41.88030699999999, -87.731844]",-87.731844,41.88030699999999
67,Capitol Carton Co,1917 W Walnut,Kinzie Industrial Corridor Industrial Corridor,2004-12-21T00:00:00.000,60425.0,30212.5,Roof /,"[41.8857971, -87.6750552]",-87.6750552,41.8857971
68,Friendship Chinese Restaurant,2830 N Milwaukee,Fullerton/Milwaukee,2004-12-23T00:00:00.000,58262.0,29131.0,HVAC / Roofing / Signage / Canopy / Electrical / Flooring / Bathrooms / Kitchen Equipment,"[41.93251170000001, -87.7135479]",-87.7135479,41.93251170000001
69,Ted Barabas,4451 W Kinzie Industrial Corridor,Northwest Industrial Corridor,2004-12-28T00:00:00.000,100000.0,50000.0,adjacent property acquisition,"[41.887384, -87.737955]",-87.737955,41.887384
70,The Windsor Tavern,4530 N Milwaukee,Jefferson Park,2004-12-28T00:00:00.000,50000.0,21712.23,Kitchen Renovations,"[41.9631726, -87.7569331]",-87.7569331,41.9631726
71,Ann Ristic,4526 N Milwaukee,Jefferson Park,2005-01-14T00:00:00.000,64629.0,32314.5,Renovations,"[41.9630416, -87.7568584]",-87.7568584,41.9630416
72,Mastercraft Metal Spinning,4141 W Kinzie Industrial Corridor,Northwest Industrial Corridor,2005-01-14T00:00:00.000,27480.0,13740.0,"Roof, Gutter, Front door","[41.8876148, -87.72983219999999]",-87.72983219999999,41.8876148
73,Katerina's,1920 W Irving Park,Western Ave South,2005-01-21T00:00:00.000,30068.0,22551.0,"HVAC, WINDOWS, Parking, fence","[41.9543399, -87.6772457]",-87.6772457,41.9543399
74,The Hair Shop & Spa,4211 W Madison,Madison/Austin Corridor,2005-01-21T00:00:00.000,75151.63,50000.0,Roof / Masonry / Storefront / Signage / HVAC / Floors / Doors,"[41.8798698, -87.7741404]",-87.7741404,41.8798698
75,Anne Gallagher,3055 W Armitage,Fullerton/Milwaukee,2005-02-10T00:00:00.000,130000.0,50000.0,2nd Floor Renovations / Roofwork,"[41.9171875, -87.70461809999999]",-87.70461809999999,41.9171875
76,B&G Painting & Dec,4159 N Western,Western Ave South,2005-03-10T00:00:00.000,26877.81,13438.91,"windows, hvac, storefront (addition)","[41.9158219, -87.6771593]",-87.6771593,41.9158219
77,Herbert Brusso,4131 N Western,Western Ave South,2005-03-17T00:00:00.000,14005.0,10503.75,Interior Buidout,"[41.9567868, -87.68825059999999]",-87.68825059999999,41.9567868
78,Jeune Nazon,1750 E 87th,Stony Island Avenue Commercial and Burnside Industrial Corridors,2005-03-17T00:00:00.000,30000.0,14433.15,"Parking, interior, exterior, HVAC, Roof, storefront","[41.7372513, -87.58086569999999]",-87.58086569999999,41.7372513
79,Xotic Tan,3129 W Armitage,Fullerton/Milwaukee,2005-03-17T00:00:00.000,60215.0,21107.5,Floors / Electrical / Bathroom / HVAC / Signage,"[42.0411028, -87.7317623]",-87.7317623,42.0411028
80,Mike O'Malley,5159 W Fullerton,Belmont/Central,2005-04-13T00:00:00.000,10000.0,5000.0,HVAC,"[41.9238721, -87.75596700000001]",-87.75596700000001,41.9238721
81,Production Craft Inc,1437 W Grand,Kinzie Industrial Corridor Industrial Corridor,2005-04-13T00:00:00.000,43923.16,21961.58,Tuckpointing / Plumbing / Sidewalk / Fencing// Possible Purchase of New Building,"[41.8908361, -87.6637123]",-87.6637123,41.8908361
82,Dance Academy,2725 S Division,Humboldt Park,2005-04-22T00:00:00.000,24200.0,18150.0,"Floor, office buildout","[41.90264000000001, -87.695683]",-87.695683,41.90264000000001
83,Tony Cristofano,5401-5407 W Belmont,Belmont/Central,2005-04-22T00:00:00.000,30084.68,15042.34,Roof / Facade / ADA Door / HVAC,"[41.9383142, -87.7618026]",-87.7618026,41.9383142
84,Chicago Kalbi Restaurant,3752 W Lawrence,Lawrence/Kedzie,2005-05-13T00:00:00.000,22975.0,11487.5,"Lintels, Brick","[41.9684693, -87.7227401]",-87.7227401,41.9684693
85,LaShaun Dumas,721 S Kedzie,Midwest,2005-05-16T00:00:00.000,100000.0,50000.0,Total Rehab,"[41.872121, -87.70547599999999]",-87.70547599999999,41.872121
86,Kelly's Banquet Hall,810 S Tripp,Midwest,2005-05-23T00:00:00.000,100000.0,50000.0,Complete Renovations,"[41.8703985, -87.7317482]",-87.7317482,41.8703985
87,1800 W Lake LLC,1800 W Lake,Kinzie Industrial Corridor Industrial Corridor,2005-06-13T00:00:00.000,105000.0,50000.0,parking lot paving,"[41.8854128, -87.6720053]",-87.6720053,41.8854128
88,Antonio Miceli,2123 W Irving Park,Western Ave South,2005-06-13T00:00:00.000,70788.0,35394.0,Storefront and Windows,"[41.9539106, -87.6821284]",-87.6821284,41.9539106
89,Wheelwright Inc,3424 W 111th,111th/Kedzie,2005-06-22T00:00:00.000,5150.0,2575.0,HVAC,"[41.6915921, -87.7066487]",-87.7066487,41.6915921
90,MacDaddy Salon,1035 W Lake,Kinzie Industrial Corridor Industrial Corridor,2005-06-28T00:00:00.000,101842.98,50000.0,"plumbing, electrical, floors, walls, HVAC","[41.8853276, -87.6535814]",-87.6535814,41.8853276
91,Northwest Paper Co Joe,5419 W Patterson,Portage Park,2005-07-06T00:00:00.000,62747.6,31373.8,Roof,"[41.94686, -87.740518]",-87.740518,41.94686
92,L & P Provisions,1301 W Lake,Kinzie Industrial Corridor Industrial Corridor,2005-07-28T00:00:00.000,83604.0,41802.0,roof,"[41.8881765, -87.6528927]",-87.6528927,41.8881765
93,Anna Maria Pasteria,4400 N Clark,Clark/Montrose,2005-08-03T00:00:00.000,100000.0,50000.0,Tuckpoint / Exterior / Interior,"[41.961738, -87.66614009999999]",-87.66614009999999,41.961738
94,Nader Salti,1350 W Randolph,Kinzie Industrial Corridor Industrial Corridor,2005-08-04T00:00:00.000,61306.0,30653.0,"HVAC, Plumbing, Electrical, Sprinkler, Masonary, Concrete, Elevator, Windows, Facade","[41.8844715, -87.66092499999999]",-87.66092499999999,41.8844715
95,IPOL LLC,1219 W Lake,Kinzie Industrial Corridor Industrial Corridor,2005-08-17T00:00:00.000,200000.0,50000.0,"purchase adjacent property for parking, iron gate","[41.8851188, -87.6574772]",-87.6574772,41.8851188
96,Elcanto Shoes,3748 W Lawrence,Lawrence/Kedzie,2005-08-19T00:00:00.000,3000.0,1500.0,reduced to rear parking only,"[41.9684105, -87.72267629999999]",-87.72267629999999,41.9684105
97,Creative Salon 1 Creative,3946 W 16th,Midwest,2005-08-23T00:00:00.000,23549.3,17661.98,"Floors, parking, storefront","[41.8589984, -87.72451079999999]",-87.72451079999999,41.8589984
98,Imtiyaz Patel,3554-58 W Lawrence,Lawrence/Kedzie,2005-08-24T00:00:00.000,25000.0,7084.59,"Awning, Windows","[41.9684716, -87.7179152]",-87.7179152,41.9684716
99,Lawndale Medical,3600 W Roosevelt,Midwest,2005-08-25T00:00:00.000,46891.0,23445.5,"Parking, Landscaping","[41.86643910000001, -87.71563569999999]",-87.71563569999999,41.86643910000001
100,Washtown Coin Laundry,3701 W Lawrence,Lawrence/Kedzie,2005-09-08T00:00:00.000,52025.0,25490.0,"Storefront, door, Plumbing, Security System, Parking Lot","[41.9682135, -87.72095449999999]",-87.72095449999999,41.9682135
101,Nader Salti,1350 W Randolph,Kinzie Industrial Corridor Industrial Corridor,2005-09-15T00:00:00.000,38694.0,19347.0,,"[41.8844715, -87.66092499999999]",-87.66092499999999,41.8844715
102,Marco Lighting Components Inc,457 N Leavitt,Kinzie Industrial Corridor Industrial Corridor,2005-09-28T00:00:00.000,33847.71,16734.18,"replace windows, doors, garage doors, hvac","[41.8901249, -87.6814437]",-87.6814437,41.8901249
103,Chicago Spotlight,1658 W Carroll,Kinzie Industrial Corridor Industrial Corridor,2005-10-11T00:00:00.000,350000.0,50000.0,"Replace roof, masonary, plumbing, electrical repairs","[41.8880679, -87.66893499999999]",-87.66893499999999,41.8880679
104,Ed Spiwak,3953 W Roosvelt,Midwest,2005-10-14T00:00:00.000,103000.0,50000.0,"Roof, Office build-out, doorways, backporches","[41.865894, -87.724789]",-87.724789,41.865894
105,Lawndale Medical,3600 W Roosevelt,Midwest,2005-10-14T00:00:00.000,35192.0,17596.0,Fence,"[41.86643910000001, -87.71563569999999]",-87.71563569999999,41.86643910000001
106,Herbert Brusso,4131 N Western,Western Ave South,2005-10-19T00:00:00.000,16788.0,12591.0,Awnings / Cement,"[41.9567868, -87.68825059999999]",-87.68825059999999,41.9567868
107,Asiana & Co,3312 W Lawrence,Lawrence/Kedzie,2005-10-20T00:00:00.000,27000.0,13850.0,"HVAC, Roof","[41.9684339, -87.7116028]",-87.7116028,41.9684339
108,David Kwang Lee,3243 W Lawrence,Lawrence/Kedzie,2005-10-20T00:00:00.000,100000.0,47067.5,"Windows, Roof, Facade/Tuckpointing, Interior Renovations, Electrical","[41.968044, -87.72292499999999]",-87.72292499999999,41.968044
109,First Start Child Patricia Tyus,19 N Cicero,Madison/Austin Corridor,2005-11-18T00:00:00.000,7600.0,3800.0,"Fire Alarm system, renovations","[41.881607, -87.74505359999999]",-87.74505359999999,41.881607
110,Brite Site,4616 W Fullerton,Northwest Industrial Corridor,2005-11-22T00:00:00.000,100000.0,50000.0,Roof / HVAC / Windows / Signage / Tuckpoint,"[41.9246126, -87.7435763]",-87.7435763,41.9246126
111,Albany Park Auto Clinic,3848 W Lawrence,Lawrence/Kedzie,2005-11-23T00:00:00.000,10165.0,5082.5,HVAC,"[41.9684643, -87.7251715]",-87.7251715,41.9684643
112,Marv-o-lus Mfg Co,220 N Washtenaw,Kinzie Industrial Corridor Industrial Corridor,2005-12-01T00:00:00.000,122000.0,50000.0,"Roof, Masonry repairs, structural repair","[41.8850973, -87.6942928]",-87.6942928,41.8850973
113,Lawrence-Kedzie Self Storage,3215 W Lawrence,Lawrence/Kedzie,2005-12-02T00:00:00.000,89371.0,44685.5,elevator,"[41.9682967, -87.715088]",-87.715088,41.9682967
114,Kenneth Motew,1035 W Lake,Kinzie Industrial Corridor Industrial Corridor,2005-12-19T00:00:00.000,145250.0,50000.0,complete rehab,"[41.88529, -87.65356659999999]",-87.65356659999999,41.88529
115,L & L Appliance Mart,3240 W Lawrence,Lawrence/Kedzie,2005-12-19T00:00:00.000,5325.0,2928.75,"Tuckpointing, Interior repairs, primates","[41.9686775, -87.7101844]",-87.7101844,41.9686775
116,AJC Restoration Inc,228 W Washtenaw,Kinzie Industrial Corridor Industrial Corridor,2006-01-04T00:00:00.000,72150.0,36075.0,"new roof, replace concrete, renovate walls","[41.8852436, -87.6942957]",-87.6942957,41.8852436
117,American Soda Fountain Inc,455 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,2006-02-10T00:00:00.000,11417.0,5908.5,replace windows,"[41.8902592, -87.6838186]",-87.6838186,41.8902592
118,Metro Financial Services,2878 N Milwaukee,Fullerton/Milwaukee,2006-02-10T00:00:00.000,150000.0,35478.93,Handicap Access / Structural support / Floor / Siding / Facade / Plumbing / HVAC / Electricla,"[41.9608525, -87.7549183]",-87.7549183,41.9608525
119,Lee Burnstein,3109 W Armitage,Fullerton/Milwaukee,2006-02-13T00:00:00.000,100000.0,50000.0,Facade / Windows / Signage / 2nd Floor Entrence / Renovate Lobby / Flooring,"[41.9172132, -87.70570579999999]",-87.70570579999999,41.9172132
120,OnCall Interactive,2247 W Lawrence,Western Ave North,2006-02-14T00:00:00.000,100000.0,26248.33,Interior Renovations,"[41.968405, -87.68458]",-87.68458,41.968405
121,Vincent Gerage,5050 W Irving Park,Portage Park,2006-02-15T00:00:00.000,18836.0,11805.75,"Roof, parapet","[41.9535833, -87.7541439]",-87.7541439,41.9535833
122,Mr Jose Mestey,2758 W North,Humboldt Park,2006-02-21T00:00:00.000,70000.0,50000.0,"Storefront, sign, electrical, drywall, plumbing, gasline, floor","[41.9105459, -87.69672299999999]",-87.69672299999999,41.9105459
123,Mark Larocca,1035 W Lake,Kinzie Industrial Corridor Industrial Corridor,2006-03-08T00:00:00.000,150000.0,50000.0,complete renovations,"[41.88529, -87.65356659999999]",-87.65356659999999,41.88529
124,Stephen Hamilton,309 N Justine,Kinzie Industrial Corridor Industrial Corridor,2006-03-15T00:00:00.000,102000.0,50000.0,"Replace roof, security gate, tuckpointing, replace glass block windows","[41.8866867, -87.6651615]",-87.6651615,41.8866867
125,Tres Jolie Art Inc,1837 W Grand,Kinzie Industrial Corridor Industrial Corridor,2006-03-31T00:00:00.000,38000.0,20900.0,New facade / storefront,"[41.691691, -87.67131300000001]",-87.67131300000001,41.691691
126,Byung Mun Kang,3523 W Lawrence,Lawrence/Kedzie,2006-04-11T00:00:00.000,19680.0,9840.0,"Parking lot paving, HVAC, Facade","[41.9683701, -87.6970439]",-87.6970439,41.9683701
127,Lawndale Medical,3600 W Roosevelt,Midwest,2006-04-12T00:00:00.000,15000.0,5717.85,gate fabrication & install,"[41.86643910000001, -87.71563569999999]",-87.71563569999999,41.86643910000001
